epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.25e-05,0.0000,22.262148,11.715834,3.515438,0.000000,0.501063,0.000000,bertscore_f1_free,0.616818,0.000824,0.616818,0.616818,62.0
2,1,2.50e-05,0.0000,19.593396,9.326145,3.422417,0.000000,0.143388,0.000000,bertscore_f1_free,0.609374,0.000730,0.609374,0.616818,61.8
3,1,3.74e-05,0.0000,17.996360,8.575500,3.140287,0.000000,0.038464,0.000000,bertscore_f1_free,0.610739,0.000742,0.610739,0.616818,61.7
4,1,4.99e-05,0.0000,16.802521,8.371281,2.810413,0.000000,0.028469,0.000000,bertscore_f1_free,0.611525,0.000765,0.611525,0.616818,62.0
5,1,6.24e-05,0.0000,16.209244,8.236515,2.657576,0.000000,0.022509,0.000000,bertscore_f1_free,0.613240,0.001076,0.613240,0.616818,61.0
6,1,7.49e-05,0.0000,15.859978,8.133777,2.575400,0.000000,0.018961,0.000000,bertscore_f1_free,0.614278,0.001149,0.614278,0.616818,61.4
7,1,7.99e-05,0.0000,15.503155,8.022282,2.493624,0.000000,0.016956,0.000000,bertscore_f1_free,0.617276,0.001654,0.617276,0.617276,61.5
8,1,7.91e-05,0.0000,15.110921,7.830952,2.426656,0.000000,0.016882,0.000000,bertscore_f1_free,0.642766,0.003226,0.642766,0.642766,61.9
9,1,7.76e-05,0.0000,13.393299,6.265600,2.375900,0.000000,0.042509,0.000000,bertscore_f1_free,0.671530,0.004501,0.671530,0.671530,62.2
10,1,7.55e-05,0.0000,12.396070,5.444401,2.317223,0.000000,0.040623,0.000000,bertscore_f1_free,0.673837,0.005064,0.673837,0.673837,61.6
11,1,7.27e-05,0.0000,12.166620,5.379101,2.262506,0.000000,0.034750,0.000000,bertscore_f1_free,0.676962,0.005155,0.676962,0.676962,60.7
12,1,6.93e-05,0.0000,11.975014,5.336083,2.212977,0.000000,0.031779,0.000000,bertscore_f1_free,0.677202,0.005147,0.677202,0.677202,61.2
13,1,6.54e-05,0.0000,11.806576,5.307644,2.166311,0.000000,0.029582,0.000000,bertscore_f1_free,0.677077,0.005220,0.677077,0.677202,61.6
14,1,6.11e-05,0.0000,11.643094,5.287325,2.118590,0.000000,0.028142,0.000000,bertscore_f1_free,0.678184,0.005376,0.678184,0.678184,62.0
15,1,5.64e-05,0.0000,11.503448,5.278230,2.075073,0.000000,0.027177,0.000000,bertscore_f1_free,0.676443,0.005707,0.676443,0.678184,61.8
16,1,5.14e-05,0.0000,11.358748,5.267635,2.030371,0.000000,0.026185,0.000000,bertscore_f1_free,0.678691,0.005518,0.678691,0.678691,60.8
17,1,4.61e-05,0.0000,11.212360,5.259043,1.984439,0.000000,0.025590,0.000000,bertscore_f1_free,0.678815,0.005862,0.678815,0.678815,61.6
18,1,4.08e-05,0.0000,11.106946,5.251361,1.951862,0.000000,0.024964,0.000000,bertscore_f1_free,0.679171,0.005142,0.679171,0.679171,61.5
19,1,3.55e-05,0.0000,10.944225,5.243199,1.900342,0.000000,0.024521,0.000000,bertscore_f1_free,0.678723,0.005459,0.678723,0.679171,61.3
20,1,3.02e-05,0.0000,10.840601,5.230446,1.870052,0.000000,0.024091,0.000000,bertscore_f1_free,0.679095,0.005351,0.679095,0.679171,61.8
21,1,2.51e-05,0.0000,10.758959,5.229132,1.843276,0.000000,0.023782,0.000000,bertscore_f1_free,0.681049,0.005800,0.681049,0.681049,61.7
22,1,2.03e-05,0.0000,10.671691,5.228694,1.814332,0.000000,0.023509,0.000000,bertscore_f1_free,0.679998,0.005444,0.679998,0.681049,61.2
23,1,1.58e-05,0.0000,10.604979,5.220029,1.794983,0.000000,0.023242,0.000000,bertscore_f1_free,0.678668,0.005978,0.678668,0.681049,61.7
24,1,1.18e-05,0.0000,10.549985,5.217001,1.777661,0.000000,0.023088,0.000000,bertscore_f1_free,0.679079,0.006286,0.679079,0.681049,61.3
25,1,8.28e-06,0.0000,10.522143,5.222045,1.766699,0.000000,0.022967,0.000000,bertscore_f1_free,0.678868,0.006370,0.678868,0.681049,61.5
26,1,5.31e-06,0.0000,10.469423,5.216688,1.750912,0.000000,0.022837,0.000000,bertscore_f1_free,0.678877,0.006466,0.678877,0.681049,61.3
27,1,2.97e-06,0.0000,10.436664,5.214996,1.740556,0.000000,0.022774,0.000000,bertscore_f1_free,0.678577,0.005749,0.678577,0.681049,61.4
28,1,1.28e-06,0.0000,10.419938,5.213059,1.735626,0.000000,0.022721,0.000000,bertscore_f1_free,0.678647,0.006057,0.678647,0.681049,62.0
29,1,2.88e-07,0.0000,10.408616,5.209716,1.732967,0.000000,0.022702,0.000000,bertscore_f1_free,0.678632,0.006231,0.678632,0.681049,61.4
30,1,3.76e-09,0.0000,10.397789,5.216051,1.727246,0.000000,0.022698,0.000000,bertscore_f1_free,0.678651,0.006285,0.678651,0.681049,61.8
31,2,3.90e-06,0.3500,10.666037,7.117565,1.182824,0.000000,0.022502,0.000000,bertscore_f1_free,0.676767,0.003146,0.676767,0.681049,112.2
32,2,7.80e-06,0.3572,10.279887,6.726995,1.184297,0.000000,0.021842,0.000000,bertscore_f1_free,0.660971,0.002712,0.660971,0.681049,116.3
33,2,1.17e-05,0.3645,10.125285,6.569496,1.185263,0.000000,0.021130,0.000000,bertscore_f1_free,0.658097,0.002911,0.658097,0.681049,116.4
34,2,1.56e-05,0.3717,9.989206,6.448317,1.180296,0.000000,0.020327,0.000000,bertscore_f1_free,0.668200,0.004603,0.668200,0.681049,117.2
